 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    24
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     5.6798e-05
1.1310e-04     1.0000e-03     5.6703e-05
1.2800e-04     1.0000e-03     5.6596e-05
1.4480e-04     1.0000e-03     5.6476e-05
1.6380e-04     1.0000e-03     5.6342e-05
1.8520e-04     1.0000e-03     5.6193e-05
2.0950e-04     1.0000e-03     5.6026e-05
2.3700e-04     1.0000e-03     5.5840e-05
2.6810e-04     1.0000e-03     5.5632e-05
3.0330e-04     1.0000e-03     5.5402e-05
3.4310e-04     1.0000e-03     5.5147e-05
3.8820e-04     1.0000e-03     5.4865e-05
4.3910e-04     1.0000e-03     5.4555e-05
4.9670e-04     1.0000e-03     5.4214e-05
5.6190e-04     1.0000e-03     5.3841e-05
6.3560e-04     1.0000e-03     5.3435e-05
7.1900e-04     1.0000e-03     5.2994e-05
8.1340e-04     1.0000e-03     5.2518e-05
9.2010e-04     1.0000e-03     5.2006e-05
1.0410e-03     1.0000e-03     5.1458e-05
1.1770e-03     1.0000e-03     5.0879e-05
1.3320e-03     1.0000e-03     5.0263e-05
1.5070e-03     1.0000e-03     4.9619e-05
1.7040e-03     1.0000e-03     4.8953e-05
1.9280e-03     1.0000e-03     4.8263e-05
2.1810e-03     1.0000e-03     4.7558e-05
2.4670e-03     1.0000e-03     4.6845e-05
2.7910e-03     1.0000e-03     4.6130e-05
3.1570e-03     1.0000e-03     4.5422e-05
3.5710e-03     1.0000e-03     4.4728e-05
4.0400e-03     1.0000e-03     4.4055e-05
4.5700e-03     1.0000e-03     4.3414e-05
5.1700e-03     1.0000e-03     4.2812e-05
5.8480e-03     1.0000e-03     4.2256e-05
6.6150e-03     1.0000e-03     4.1752e-05
7.4830e-03     1.0000e-03     4.1307e-05
8.4650e-03     1.0000e-03     4.0925e-05
9.5760e-03     1.0000e-03     4.0608e-05
1.0830e-02     1.0000e-03     4.0360e-05
1.2250e-02     1.0000e-03     4.0182e-05
1.3860e-02     1.0000e-03     4.0071e-05
1.5680e-02     1.0000e-03     4.0027e-05
1.7740e-02     1.0000e-03     4.0047e-05
2.0070e-02     1.0000e-03     4.0127e-05
2.2700e-02     1.0000e-03     4.0260e-05
2.5680e-02     1.0000e-03     4.0442e-05
2.9050e-02     1.0000e-03     4.0664e-05
3.2860e-02     1.0000e-03     4.0919e-05
3.7170e-02     1.0000e-03     4.1199e-05
4.2050e-02     1.0000e-03     4.1495e-05
4.7570e-02     1.0000e-03     4.1794e-05
5.3810e-02     1.0000e-03     4.2092e-05
6.0870e-02     1.0000e-03     4.2374e-05
6.8850e-02     1.0000e-03     4.2636e-05
7.7890e-02     1.0000e-03     4.2863e-05
8.8110e-02     1.0000e-03     4.3048e-05
9.9670e-02     1.0000e-03     4.3182e-05
1.1270e-01     1.0000e-03     4.3257e-05
1.2750e-01     1.0000e-03     4.3259e-05
1.4430e-01     1.0000e-03     4.3183e-05
1.6320e-01     1.0000e-03     4.3022e-05
1.8460e-01     1.0000e-03     4.2770e-05
2.0890e-01     1.0000e-03     4.2409e-05
2.3630e-01     1.0000e-03     4.1934e-05
2.6730e-01     1.0000e-03     4.1335e-05
3.0230e-01     1.0000e-03     4.0627e-05
3.4200e-01     1.0000e-03     3.9775e-05
3.8690e-01     1.0000e-03     3.8784e-05
4.3760e-01     1.0000e-03     3.7644e-05
4.9510e-01     1.0000e-03     3.6370e-05
5.6000e-01     1.0000e-03     3.4942e-05
6.3350e-01     1.0000e-03     3.3387e-05
7.1660e-01     1.0000e-03     3.1669e-05
8.1070e-01     1.0000e-03     2.9848e-05
9.1700e-01     1.0000e-03     2.7914e-05
1.0370e+00     1.0000e-03     2.5903e-05
1.1730e+00     1.0000e-03     2.3803e-05
1.3270e+00     1.0000e-03     2.1685e-05
1.5020e+00     1.0000e-03     1.9526e-05
1.6990e+00     1.0000e-03     1.7364e-05
1.9220e+00     1.0000e-03     1.5282e-05
2.1740e+00     1.0000e-03     1.3277e-05
2.4590e+00     1.0000e-03     1.1377e-05
2.7820e+00     1.0000e-03     9.6081e-06
3.1470e+00     1.0000e-03     8.0001e-06
3.5600e+00     1.0000e-03     6.5575e-06
4.0270e+00     1.0000e-03     5.2973e-06
4.5550e+00     1.0000e-03     4.2009e-06
5.1530e+00     1.0000e-03     3.2743e-06
5.8290e+00     1.0000e-03     2.5091e-06
6.5940e+00     1.0000e-03     1.8885e-06
7.4590e+00     1.0000e-03     1.3943e-06
8.4370e+00     1.0000e-03     1.0078e-06
9.5450e+00     1.0000e-03     7.2476e-07
1.0800e+01     1.0000e-03     5.0831e-07
1.2210e+01     1.0000e-03     3.4937e-07
1.3820e+01     1.0000e-03     2.3636e-07
1.5630e+01     1.0000e-03     1.5779e-07
1.7680e+01     1.0000e-03     1.0431e-07
2.0000e+01     1.0000e-03     6.6928e-08
