 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.2679e-09
1.0000e-04     3.7170e-05     1.7513e-08
1.0000e-04     6.4340e-05     5.2442e-08
1.0000e-04     9.1520e-05     1.0601e-07
1.0000e-04     1.1870e-04     1.7811e-07
1.0000e-04     1.4590e-04     2.6868e-07
1.0000e-04     1.7300e-04     3.7706e-07
1.0000e-04     2.0020e-04     5.0385e-07
1.0000e-04     2.2740e-04     6.4844e-07
1.0000e-04     2.5450e-04     8.0994e-07
1.0000e-04     2.8170e-04     9.8923e-07
1.0000e-04     3.0890e-04     1.1854e-06
1.0000e-04     3.3610e-04     1.3981e-06
1.0000e-04     3.6320e-04     1.6261e-06
1.0000e-04     3.9040e-04     1.8706e-06
1.0000e-04     4.1760e-04     2.1303e-06
1.0000e-04     4.4470e-04     2.4037e-06
1.0000e-04     4.7190e-04     2.6925e-06
1.0000e-04     4.9910e-04     2.9949e-06
1.0000e-04     5.2630e-04     3.3106e-06
1.0000e-04     5.5340e-04     3.6376e-06
1.0000e-04     5.8060e-04     3.9779e-06
1.0000e-04     6.0780e-04     4.3295e-06
1.0000e-04     6.3490e-04     4.6907e-06
1.0000e-04     6.6210e-04     5.0633e-06
1.0000e-04     6.8930e-04     5.4454e-06
1.0000e-04     7.1650e-04     5.8364e-06
1.0000e-04     7.4360e-04     6.2340e-06
1.0000e-04     7.7080e-04     6.6406e-06
1.0000e-04     7.9800e-04     7.0540e-06
1.0000e-04     8.2520e-04     7.4735e-06
1.0000e-04     8.5230e-04     7.8968e-06
1.0000e-04     8.7950e-04     8.3264e-06
1.0000e-04     9.0670e-04     8.7599e-06
1.0000e-04     9.3380e-04     9.1952e-06
1.0000e-04     9.6100e-04     9.6346e-06
1.0000e-04     9.8820e-04     1.0076e-05
1.0000e-04     1.0150e-03     1.0512e-05
1.0000e-04     1.0430e-03     1.0968e-05
1.0000e-04     1.0700e-03     1.1408e-05
1.0000e-04     1.0970e-03     1.1847e-05
1.0000e-04     1.1240e-03     1.2284e-05
1.0000e-04     1.1510e-03     1.2719e-05
1.0000e-04     1.1780e-03     1.3152e-05
1.0000e-04     1.2060e-03     1.3597e-05
1.0000e-04     1.2330e-03     1.4022e-05
1.0000e-04     1.2600e-03     1.4443e-05
1.0000e-04     1.2870e-03     1.4859e-05
