 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.2679e-09
1.0000e-04     1.0580e-05     1.4193e-09
1.0000e-04     1.1200e-05     1.5905e-09
1.0000e-04     1.1850e-05     1.7804e-09
1.0000e-04     1.2540e-05     1.9938e-09
1.0000e-04     1.3270e-05     2.2327e-09
1.0000e-04     1.4040e-05     2.4993e-09
1.0000e-04     1.4860e-05     2.7997e-09
1.0000e-04     1.5720e-05     3.1332e-09
1.0000e-04     1.6640e-05     3.5106e-09
1.0000e-04     1.7600e-05     3.9273e-09
1.0000e-04     1.8630e-05     4.4004e-09
1.0000e-04     1.9710e-05     4.9253e-09
1.0000e-04     2.0860e-05     5.5168e-09
1.0000e-04     2.2070e-05     6.1753e-09
1.0000e-04     2.3360e-05     6.9182e-09
1.0000e-04     2.4710e-05     7.7408e-09
1.0000e-04     2.6150e-05     8.6692e-09
1.0000e-04     2.7670e-05     9.7061e-09
1.0000e-04     2.9280e-05     1.0868e-08
1.0000e-04     3.0990e-05     1.2175e-08
1.0000e-04     3.2790e-05     1.3630e-08
1.0000e-04     3.4700e-05     1.5263e-08
1.0000e-04     3.6720e-05     1.7091e-08
1.0000e-04     3.8850e-05     1.9131e-08
1.0000e-04     4.1110e-05     2.1421e-08
1.0000e-04     4.3510e-05     2.3994e-08
1.0000e-04     4.6040e-05     2.6864e-08
1.0000e-04     4.8710e-05     3.0069e-08
1.0000e-04     5.1550e-05     3.3675e-08
1.0000e-04     5.4550e-05     3.7706e-08
1.0000e-04     5.7720e-05     4.2213e-08
1.0000e-04     6.1080e-05     4.7266e-08
1.0000e-04     6.4630e-05     5.2915e-08
1.0000e-04     6.8390e-05     5.9245e-08
1.0000e-04     7.2370e-05     6.6333e-08
1.0000e-04     7.6580e-05     7.4265e-08
1.0000e-04     8.1040e-05     8.3155e-08
1.0000e-04     8.5750e-05     9.3086e-08
1.0000e-04     9.0740e-05     1.0422e-07
1.0000e-04     9.6020e-05     1.1667e-07
1.0000e-04     1.0160e-04     1.3060e-07
1.0000e-04     1.0750e-04     1.4616e-07
1.0000e-04     1.1380e-04     1.6375e-07
1.0000e-04     1.2040e-04     1.8323e-07
1.0000e-04     1.2740e-04     2.0508e-07
1.0000e-04     1.3480e-04     2.2950e-07
1.0000e-04     1.4270e-04     2.5707e-07
1.0000e-04     1.5100e-04     2.8770e-07
1.0000e-04     1.5970e-04     3.2162e-07
1.0000e-04     1.6900e-04     3.5993e-07
1.0000e-04     1.7890e-04     4.0304e-07
1.0000e-04     1.8930e-04     4.5089e-07
1.0000e-04     2.0030e-04     5.0435e-07
1.0000e-04     2.1190e-04     5.6388e-07
1.0000e-04     2.2430e-04     6.3107e-07
1.0000e-04     2.3730e-04     7.0544e-07
1.0000e-04     2.5110e-04     7.8874e-07
1.0000e-04     2.6570e-04     8.8170e-07
1.0000e-04     2.8120e-04     9.8578e-07
1.0000e-04     2.9750e-04     1.1012e-06
1.0000e-04     3.1490e-04     1.2309e-06
1.0000e-04     3.3320e-04     1.3747e-06
1.0000e-04     3.5260e-04     1.5350e-06
1.0000e-04     3.7310e-04     1.7133e-06
1.0000e-04     3.9480e-04     1.9115e-06
1.0000e-04     4.1770e-04     2.1313e-06
1.0000e-04     4.4200e-04     2.3759e-06
1.0000e-04     4.6780e-04     2.6480e-06
1.0000e-04     4.9500e-04     2.9485e-06
1.0000e-04     5.2380e-04     3.2810e-06
1.0000e-04     5.5420e-04     3.6474e-06
1.0000e-04     5.8650e-04     4.0532e-06
1.0000e-04     6.2060e-04     4.4988e-06
1.0000e-04     6.5670e-04     4.9885e-06
1.0000e-04     6.9490e-04     5.5252e-06
1.0000e-04     7.3540e-04     6.1129e-06
1.0000e-04     7.7810e-04     6.7509e-06
1.0000e-04     8.2340e-04     7.4455e-06
1.0000e-04     8.7130e-04     8.1964e-06
1.0000e-04     9.2200e-04     9.0053e-06
1.0000e-04     9.7570e-04     9.8730e-06
1.0000e-04     1.0320e-03     1.0789e-05
1.0000e-04     1.0920e-03     1.1766e-05
1.0000e-04     1.1560e-03     1.2800e-05
1.0000e-04     1.2230e-03     1.3865e-05
1.0000e-04     1.2940e-03     1.4966e-05
1.0000e-04     1.3700e-03     1.6099e-05
1.0000e-04     1.4490e-03     1.7218e-05
1.0000e-04     1.5340e-03     1.8340e-05
1.0000e-04     1.6230e-03     1.9412e-05
1.0000e-04     1.7170e-03     2.0417e-05
1.0000e-04     1.8170e-03     2.1334e-05
1.0000e-04     1.9230e-03     2.2123e-05
1.0000e-04     2.0350e-03     2.2747e-05
1.0000e-04     2.1530e-03     2.3171e-05
1.0000e-04     2.2790e-03     2.3364e-05
1.0000e-04     2.4110e-03     2.3292e-05
1.0000e-04     2.5520e-03     2.2928e-05
1.0000e-04     2.7000e-03     2.2260e-05
1.1310e-04     1.0000e-05     1.2662e-09
1.1310e-04     1.0580e-05     1.4174e-09
1.1310e-04     1.1200e-05     1.5883e-09
1.1310e-04     1.1850e-05     1.7780e-09
1.1310e-04     1.2540e-05     1.9911e-09
1.1310e-04     1.3270e-05     2.2297e-09
1.1310e-04     1.4040e-05     2.4959e-09
1.1310e-04     1.4860e-05     2.7960e-09
1.1310e-04     1.5720e-05     3.1290e-09
1.1310e-04     1.6640e-05     3.5059e-09
1.1310e-04     1.7600e-05     3.9221e-09
1.1310e-04     1.8630e-05     4.3945e-09
1.1310e-04     1.9710e-05     4.9188e-09
1.1310e-04     2.0860e-05     5.5094e-09
1.1310e-04     2.2070e-05     6.1671e-09
1.1310e-04     2.3360e-05     6.9090e-09
1.1310e-04     2.4710e-05     7.7305e-09
1.1310e-04     2.6150e-05     8.6576e-09
1.1310e-04     2.7670e-05     9.6932e-09
1.1310e-04     2.9280e-05     1.0854e-08
1.1310e-04     3.0990e-05     1.2158e-08
1.1310e-04     3.2790e-05     1.3611e-08
1.1310e-04     3.4700e-05     1.5243e-08
1.1310e-04     3.6720e-05     1.7069e-08
1.1310e-04     3.8850e-05     1.9106e-08
1.1310e-04     4.1110e-05     2.1392e-08
1.1310e-04     4.3510e-05     2.3962e-08
1.1310e-04     4.6040e-05     2.6828e-08
1.1310e-04     4.8710e-05     3.0028e-08
1.1310e-04     5.1550e-05     3.3630e-08
1.1310e-04     5.4550e-05     3.7656e-08
1.1310e-04     5.7720e-05     4.2156e-08
1.1310e-04     6.1080e-05     4.7203e-08
1.1310e-04     6.4630e-05     5.2844e-08
1.1310e-04     6.8390e-05     5.9165e-08
1.1310e-04     7.2370e-05     6.6244e-08
1.1310e-04     7.6580e-05     7.4166e-08
1.1310e-04     8.1040e-05     8.3043e-08
1.1310e-04     8.5750e-05     9.2961e-08
1.1310e-04     9.0740e-05     1.0408e-07
1.1310e-04     9.6020e-05     1.1652e-07
1.1310e-04     1.0160e-04     1.3042e-07
1.1310e-04     1.0750e-04     1.4597e-07
1.1310e-04     1.1380e-04     1.6353e-07
1.1310e-04     1.2040e-04     1.8299e-07
1.1310e-04     1.2740e-04     2.0481e-07
1.1310e-04     1.3480e-04     2.2920e-07
1.1310e-04     1.4270e-04     2.5673e-07
1.1310e-04     1.5100e-04     2.8731e-07
1.1310e-04     1.5970e-04     3.2118e-07
1.1310e-04     1.6900e-04     3.5944e-07
1.1310e-04     1.7890e-04     4.0249e-07
1.1310e-04     1.8930e-04     4.5028e-07
1.1310e-04     2.0030e-04     5.0367e-07
1.1310e-04     2.1190e-04     5.6312e-07
1.1310e-04     2.2430e-04     6.3022e-07
1.1310e-04     2.3730e-04     7.0449e-07
1.1310e-04     2.5110e-04     7.8767e-07
1.1310e-04     2.6570e-04     8.8050e-07
1.1310e-04     2.8120e-04     9.8444e-07
1.1310e-04     2.9750e-04     1.0997e-06
1.1310e-04     3.1490e-04     1.2292e-06
1.1310e-04     3.3320e-04     1.3728e-06
1.1310e-04     3.5260e-04     1.5329e-06
1.1310e-04     3.7310e-04     1.7109e-06
1.1310e-04     3.9480e-04     1.9089e-06
1.1310e-04     4.1770e-04     2.1283e-06
1.1310e-04     4.4200e-04     2.3726e-06
1.1310e-04     4.6780e-04     2.6444e-06
1.1310e-04     4.9500e-04     2.9444e-06
1.1310e-04     5.2380e-04     3.2764e-06
1.1310e-04     5.5420e-04     3.6423e-06
1.1310e-04     5.8650e-04     4.0475e-06
1.1310e-04     6.2060e-04     4.4924e-06
1.1310e-04     6.5670e-04     4.9814e-06
1.1310e-04     6.9490e-04     5.5172e-06
1.1310e-04     7.3540e-04     6.1039e-06
1.1310e-04     7.7810e-04     6.7409e-06
1.1310e-04     8.2340e-04     7.4344e-06
1.1310e-04     8.7130e-04     8.1840e-06
1.1310e-04     9.2200e-04     8.9915e-06
1.1310e-04     9.7570e-04     9.8576e-06
1.1310e-04     1.0320e-03     1.0772e-05
1.1310e-04     1.0920e-03     1.1747e-05
1.1310e-04     1.1560e-03     1.2779e-05
1.1310e-04     1.2230e-03     1.3842e-05
1.1310e-04     1.2940e-03     1.4940e-05
1.1310e-04     1.3700e-03     1.6071e-05
1.1310e-04     1.4490e-03     1.7187e-05
