 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.2182e-08
1.0000e-04     3.7170e-05     1.6826e-07
1.0000e-04     6.4340e-05     5.0386e-07
1.0000e-04     9.1520e-05     1.0185e-06
1.0000e-04     1.1870e-04     1.7112e-06
1.0000e-04     1.4590e-04     2.5812e-06
1.0000e-04     1.7300e-04     3.6223e-06
1.0000e-04     2.0020e-04     4.8401e-06
1.0000e-04     2.2740e-04     6.2288e-06
1.0000e-04     2.5450e-04     7.7797e-06
1.0000e-04     2.8170e-04     9.5011e-06
1.0000e-04     3.0890e-04     1.1384e-05
1.0000e-04     3.3610e-04     1.3426e-05
1.0000e-04     3.6320e-04     1.5614e-05
1.0000e-04     3.9040e-04     1.7959e-05
1.0000e-04     4.1760e-04     2.0451e-05
1.0000e-04     4.4470e-04     2.3073e-05
1.0000e-04     4.7190e-04     2.5841e-05
1.0000e-04     4.9910e-04     2.8740e-05
1.0000e-04     5.2630e-04     3.1764e-05
1.0000e-04     5.5340e-04     3.4896e-05
1.0000e-04     5.8060e-04     3.8154e-05
1.0000e-04     6.0780e-04     4.1519e-05
1.0000e-04     6.3490e-04     4.4974e-05
1.0000e-04     6.6210e-04     4.8536e-05
1.0000e-04     6.8930e-04     5.2188e-05
1.0000e-04     7.1650e-04     5.5922e-05
1.0000e-04     7.4360e-04     5.9718e-05
1.0000e-04     7.7080e-04     6.3596e-05
1.0000e-04     7.9800e-04     6.7537e-05
1.0000e-04     8.2520e-04     7.1533e-05
1.0000e-04     8.5230e-04     7.5562e-05
1.0000e-04     8.7950e-04     7.9647e-05
1.0000e-04     9.0670e-04     8.3767e-05
1.0000e-04     9.3380e-04     8.7898e-05
1.0000e-04     9.6100e-04     9.2065e-05
1.0000e-04     9.8820e-04     9.6246e-05
1.0000e-04     1.0150e-03     1.0037e-04
1.0000e-04     1.0430e-03     1.0468e-04
1.0000e-04     1.0700e-03     1.0883e-04
1.0000e-04     1.0970e-03     1.1297e-04
1.0000e-04     1.1240e-03     1.1708e-04
1.0000e-04     1.1510e-03     1.2117e-04
1.0000e-04     1.1780e-03     1.2523e-04
1.0000e-04     1.2060e-03     1.2939e-04
1.0000e-04     1.2330e-03     1.3336e-04
1.0000e-04     1.2600e-03     1.3728e-04
1.0000e-04     1.2870e-03     1.4115e-04
1.0000e-04     1.3140e-03     1.4495e-04
1.0000e-04     1.3410e-03     1.4869e-04
1.0000e-04     1.3690e-03     1.5249e-04
1.0000e-04     1.3960e-03     1.5607e-04
1.0000e-04     1.4230e-03     1.5958e-04
1.0000e-04     1.4500e-03     1.6300e-04
1.0000e-04     1.4770e-03     1.6632e-04
1.0000e-04     1.5040e-03     1.6956e-04
1.0000e-04     1.5320e-03     1.7281e-04
1.0000e-04     1.5590e-03     1.7584e-04
1.0000e-04     1.5860e-03     1.7876e-04
1.0000e-04     1.6130e-03     1.8158e-04
