 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    24
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.2183e-04
1.1310e-04     1.0000e-03     1.2185e-04
1.2800e-04     1.0000e-03     1.2187e-04
1.4480e-04     1.0000e-03     1.2190e-04
1.6380e-04     1.0000e-03     1.2194e-04
1.8520e-04     1.0000e-03     1.2199e-04
2.0950e-04     1.0000e-03     1.2205e-04
2.3700e-04     1.0000e-03     1.2213e-04
2.6810e-04     1.0000e-03     1.2223e-04
3.0330e-04     1.0000e-03     1.2236e-04
3.4310e-04     1.0000e-03     1.2252e-04
3.8820e-04     1.0000e-03     1.2273e-04
4.3910e-04     1.0000e-03     1.2300e-04
4.9670e-04     1.0000e-03     1.2335e-04
5.6190e-04     1.0000e-03     1.2379e-04
6.3560e-04     1.0000e-03     1.2435e-04
7.1900e-04     1.0000e-03     1.2507e-04
8.1340e-04     1.0000e-03     1.2601e-04
9.2010e-04     1.0000e-03     1.2721e-04
1.0410e-03     1.0000e-03     1.2877e-04
1.1770e-03     1.0000e-03     1.3077e-04
1.3320e-03     1.0000e-03     1.3340e-04
1.5070e-03     1.0000e-03     1.3682e-04
1.7040e-03     1.0000e-03     1.4128e-04
1.9280e-03     1.0000e-03     1.4720e-04
2.1810e-03     1.0000e-03     1.5503e-04
2.4670e-03     1.0000e-03     1.6549e-04
2.7910e-03     1.0000e-03     1.7962e-04
3.1570e-03     1.0000e-03     1.9885e-04
3.5710e-03     1.0000e-03     2.2534e-04
4.0400e-03     1.0000e-03     2.6240e-04
4.5700e-03     1.0000e-03     3.1492e-04
5.1700e-03     1.0000e-03     3.9073e-04
5.8480e-03     1.0000e-03     5.0195e-04
6.6150e-03     1.0000e-03     6.6836e-04
7.4830e-03     1.0000e-03     9.2198e-04
8.4650e-03     1.0000e-03     1.3138e-03
9.5760e-03     1.0000e-03     1.9208e-03
1.0830e-02     1.0000e-03     2.8389e-03
1.2250e-02     1.0000e-03     4.1377e-03
1.3860e-02     1.0000e-03     5.7090e-03
1.5680e-02     1.0000e-03     7.1141e-03
1.7740e-02     1.0000e-03     7.8340e-03
2.0070e-02     1.0000e-03     7.7709e-03
2.2700e-02     1.0000e-03     7.2409e-03
2.5680e-02     1.0000e-03     6.5697e-03
2.9050e-02     1.0000e-03     5.9301e-03
3.2860e-02     1.0000e-03     5.3777e-03
3.7170e-02     1.0000e-03     4.9160e-03
4.2050e-02     1.0000e-03     4.5314e-03
4.7570e-02     1.0000e-03     4.2087e-03
5.3810e-02     1.0000e-03     3.9349e-03
6.0870e-02     1.0000e-03     3.6980e-03
6.8850e-02     1.0000e-03     3.4900e-03
7.7890e-02     1.0000e-03     3.3036e-03
8.8110e-02     1.0000e-03     3.1330e-03
9.9670e-02     1.0000e-03     2.9730e-03
1.1270e-01     1.0000e-03     2.8198e-03
1.2750e-01     1.0000e-03     2.6687e-03
1.4430e-01     1.0000e-03     2.5162e-03
1.6320e-01     1.0000e-03     2.3613e-03
1.8460e-01     1.0000e-03     2.2008e-03
2.0890e-01     1.0000e-03     2.0340e-03
2.3630e-01     1.0000e-03     1.8623e-03
2.6730e-01     1.0000e-03     1.6858e-03
3.0230e-01     1.0000e-03     1.5076e-03
3.4200e-01     1.0000e-03     1.3292e-03
3.8690e-01     1.0000e-03     1.1551e-03
4.3760e-01     1.0000e-03     9.8857e-04
4.9510e-01     1.0000e-03     8.3170e-04
5.6000e-01     1.0000e-03     6.8833e-04
6.3350e-01     1.0000e-03     5.6003e-04
7.1660e-01     1.0000e-03     4.4732e-04
8.1070e-01     1.0000e-03     3.5105e-04
9.1700e-01     1.0000e-03     2.7054e-04
1.0370e+00     1.0000e-03     2.0492e-04
1.1730e+00     1.0000e-03     1.5221e-04
1.3270e+00     1.0000e-03     1.1111e-04
1.5020e+00     1.0000e-03     7.9441e-05
1.6990e+00     1.0000e-03     5.5791e-05
1.9220e+00     1.0000e-03     3.8542e-05
2.1740e+00     1.0000e-03     2.6123e-05
2.4590e+00     1.0000e-03     1.7441e-05
2.7820e+00     1.0000e-03     1.1426e-05
3.1470e+00     1.0000e-03     7.3538e-06
3.5600e+00     1.0000e-03     4.6808e-06
4.0270e+00     1.0000e-03     2.9237e-06
4.5550e+00     1.0000e-03     1.8002e-06
5.1530e+00     1.0000e-03     1.0937e-06
5.8290e+00     1.0000e-03     6.5665e-07
6.5940e+00     1.0000e-03     3.8920e-07
7.4590e+00     1.0000e-03     2.2791e-07
8.4370e+00     1.0000e-03     1.3279e-07
9.5450e+00     1.0000e-03     7.5926e-08
1.0800e+01     1.0000e-03     4.3114e-08
1.2210e+01     1.0000e-03     2.4263e-08
1.3820e+01     1.0000e-03     1.3469e-08
1.5630e+01     1.0000e-03     7.5032e-09
1.7680e+01     1.0000e-03     4.0434e-09
2.0000e+01     1.0000e-03     2.1834e-09
