 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    96
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     3.0577e-06
1.0000e-04     1.0580e-05     3.4227e-06
1.0000e-04     1.1200e-05     3.8356e-06
1.0000e-04     1.1850e-05     4.2937e-06
1.0000e-04     1.2540e-05     4.8083e-06
1.0000e-04     1.3270e-05     5.3844e-06
1.0000e-04     1.4040e-05     6.0274e-06
1.0000e-04     1.4860e-05     6.7519e-06
1.0000e-04     1.5720e-05     7.5560e-06
1.0000e-04     1.6640e-05     8.4663e-06
1.0000e-04     1.7600e-05     9.4712e-06
1.0000e-04     1.8630e-05     1.0612e-05
1.0000e-04     1.9710e-05     1.1878e-05
1.0000e-04     2.0860e-05     1.3304e-05
1.0000e-04     2.2070e-05     1.4893e-05
1.0000e-04     2.3360e-05     1.6684e-05
1.0000e-04     2.4710e-05     1.8668e-05
1.0000e-04     2.6150e-05     2.0907e-05
1.0000e-04     2.7670e-05     2.3408e-05
1.0000e-04     2.9280e-05     2.6210e-05
1.0000e-04     3.0990e-05     2.9360e-05
1.0000e-04     3.2790e-05     3.2869e-05
1.0000e-04     3.4700e-05     3.6809e-05
1.0000e-04     3.6720e-05     4.1218e-05
1.0000e-04     3.8850e-05     4.6137e-05
1.0000e-04     4.1110e-05     5.1659e-05
1.0000e-04     4.3510e-05     5.7864e-05
1.0000e-04     4.6040e-05     6.4786e-05
1.0000e-04     4.8710e-05     7.2514e-05
1.0000e-04     5.1550e-05     8.1211e-05
1.0000e-04     5.4550e-05     9.0932e-05
1.0000e-04     5.7720e-05     1.0180e-04
1.0000e-04     6.1080e-05     1.1399e-04
1.0000e-04     6.4630e-05     1.2761e-04
1.0000e-04     6.8390e-05     1.4287e-04
1.0000e-04     7.2370e-05     1.5997e-04
1.0000e-04     7.6580e-05     1.7909e-04
1.0000e-04     8.1040e-05     2.0053e-04
1.0000e-04     8.5750e-05     2.2448e-04
1.0000e-04     9.0740e-05     2.5132e-04
1.0000e-04     9.6020e-05     2.8135e-04
1.0000e-04     1.0160e-04     3.1493e-04
1.0000e-04     1.0750e-04     3.5247e-04
1.0000e-04     1.1380e-04     3.9487e-04
1.0000e-04     1.2040e-04     4.4185e-04
1.0000e-04     1.2740e-04     4.9454e-04
1.0000e-04     1.3480e-04     5.5342e-04
1.0000e-04     1.4270e-04     6.1989e-04
1.0000e-04     1.5100e-04     6.9372e-04
1.0000e-04     1.5970e-04     7.7550e-04
1.0000e-04     1.6900e-04     8.6787e-04
1.0000e-04     1.7890e-04     9.7179e-04
1.0000e-04     1.8930e-04     1.0871e-03
1.0000e-04     2.0030e-04     1.2160e-03
1.0000e-04     2.1190e-04     1.3595e-03
1.0000e-04     2.2430e-04     1.5215e-03
1.0000e-04     2.3730e-04     1.7007e-03
1.0000e-04     2.5110e-04     1.9014e-03
1.0000e-04     2.6570e-04     2.1254e-03
1.0000e-04     2.8120e-04     2.3762e-03
1.0000e-04     2.9750e-04     2.6541e-03
1.0000e-04     3.1490e-04     2.9667e-03
1.0000e-04     3.3320e-04     3.3129e-03
1.0000e-04     3.5260e-04     3.6991e-03
1.0000e-04     3.7310e-04     4.1282e-03
1.0000e-04     3.9480e-04     4.6055e-03
1.0000e-04     4.1770e-04     5.1342e-03
1.0000e-04     4.4200e-04     5.7227e-03
1.0000e-04     4.6780e-04     6.3773e-03
1.0000e-04     4.9500e-04     7.0996e-03
1.0000e-04     5.2380e-04     7.8988e-03
1.0000e-04     5.5420e-04     8.7790e-03
1.0000e-04     5.8650e-04     9.7532e-03
1.0000e-04     6.2060e-04     1.0822e-02
1.0000e-04     6.5670e-04     1.1996e-02
1.0000e-04     6.9490e-04     1.3282e-02
1.0000e-04     7.3540e-04     1.4689e-02
1.0000e-04     7.7810e-04     1.6214e-02
1.0000e-04     8.2340e-04     1.7872e-02
1.0000e-04     8.7130e-04     1.9662e-02
1.0000e-04     9.2200e-04     2.1587e-02
1.0000e-04     9.7570e-04     2.3646e-02
1.0000e-04     1.0320e-03     2.5815e-02
1.0000e-04     1.0920e-03     2.8120e-02
1.0000e-04     1.1560e-03     3.0551e-02
1.0000e-04     1.2230e-03     3.3044e-02
1.0000e-04     1.2940e-03     3.5602e-02
1.0000e-04     1.3700e-03     3.8218e-02
1.0000e-04     1.4490e-03     4.0773e-02
1.0000e-04     1.5340e-03     4.3304e-02
1.0000e-04     1.6230e-03     4.5680e-02
1.0000e-04     1.7170e-03     4.7855e-02
1.0000e-04     1.8170e-03     4.9767e-02
1.0000e-04     1.9230e-03     5.1320e-02
1.0000e-04     2.0350e-03     5.2422e-02
1.0000e-04     2.1530e-03     5.2987e-02
1.0000e-04     2.2790e-03     5.2940e-02
1.0000e-04     2.4110e-03     5.2216e-02
1.0000e-04     2.5520e-03     5.0755e-02
1.0000e-04     2.7000e-03     4.8561e-02
1.1310e-04     1.0000e-05     3.0588e-06
1.1310e-04     1.0580e-05     3.4239e-06
1.1310e-04     1.1200e-05     3.8370e-06
1.1310e-04     1.1850e-05     4.2952e-06
1.1310e-04     1.2540e-05     4.8100e-06
1.1310e-04     1.3270e-05     5.3863e-06
1.1310e-04     1.4040e-05     6.0295e-06
1.1310e-04     1.4860e-05     6.7543e-06
1.1310e-04     1.5720e-05     7.5587e-06
1.1310e-04     1.6640e-05     8.4692e-06
1.1310e-04     1.7600e-05     9.4746e-06
1.1310e-04     1.8630e-05     1.0616e-05
1.1310e-04     1.9710e-05     1.1882e-05
1.1310e-04     2.0860e-05     1.3309e-05
1.1310e-04     2.2070e-05     1.4898e-05
1.1310e-04     2.3360e-05     1.6690e-05
1.1310e-04     2.4710e-05     1.8675e-05
1.1310e-04     2.6150e-05     2.0914e-05
1.1310e-04     2.7670e-05     2.3416e-05
1.1310e-04     2.9280e-05     2.6220e-05
1.1310e-04     3.0990e-05     2.9371e-05
1.1310e-04     3.2790e-05     3.2881e-05
1.1310e-04     3.4700e-05     3.6822e-05
1.1310e-04     3.6720e-05     4.1233e-05
1.1310e-04     3.8850e-05     4.6153e-05
1.1310e-04     4.1110e-05     5.1677e-05
1.1310e-04     4.3510e-05     5.7884e-05
1.1310e-04     4.6040e-05     6.4809e-05
1.1310e-04     4.8710e-05     7.2539e-05
1.1310e-04     5.1550e-05     8.1240e-05
1.1310e-04     5.4550e-05     9.0964e-05
1.1310e-04     5.7720e-05     1.0184e-04
1.1310e-04     6.1080e-05     1.1403e-04
1.1310e-04     6.4630e-05     1.2765e-04
1.1310e-04     6.8390e-05     1.4292e-04
1.1310e-04     7.2370e-05     1.6002e-04
1.1310e-04     7.6580e-05     1.7916e-04
1.1310e-04     8.1040e-05     2.0060e-04
1.1310e-04     8.5750e-05     2.2456e-04
1.1310e-04     9.0740e-05     2.5141e-04
1.1310e-04     9.6020e-05     2.8145e-04
1.1310e-04     1.0160e-04     3.1504e-04
1.1310e-04     1.0750e-04     3.5259e-04
1.1310e-04     1.1380e-04     3.9501e-04
1.1310e-04     1.2040e-04     4.4201e-04
1.1310e-04     1.2740e-04     4.9471e-04
1.1310e-04     1.3480e-04     5.5361e-04
1.1310e-04     1.4270e-04     6.2010e-04
1.1310e-04     1.5100e-04     6.9396e-04
1.1310e-04     1.5970e-04     7.7577e-04
1.1310e-04     1.6900e-04     8.6817e-04
1.1310e-04     1.7890e-04     9.7213e-04
1.1310e-04     1.8930e-04     1.0875e-03
1.1310e-04     2.0030e-04     1.2164e-03
1.1310e-04     2.1190e-04     1.3600e-03
1.1310e-04     2.2430e-04     1.5220e-03
1.1310e-04     2.3730e-04     1.7013e-03
1.1310e-04     2.5110e-04     1.9021e-03
1.1310e-04     2.6570e-04     2.1262e-03
1.1310e-04     2.8120e-04     2.3770e-03
1.1310e-04     2.9750e-04     2.6551e-03
1.1310e-04     3.1490e-04     2.9678e-03
1.1310e-04     3.3320e-04     3.3141e-03
1.1310e-04     3.5260e-04     3.7004e-03
1.1310e-04     3.7310e-04     4.1296e-03
1.1310e-04     3.9480e-04     4.6071e-03
1.1310e-04     4.1770e-04     5.1360e-03
1.1310e-04     4.4200e-04     5.7246e-03
1.1310e-04     4.6780e-04     6.3795e-03
1.1310e-04     4.9500e-04     7.1020e-03
1.1310e-04     5.2380e-04     7.9014e-03
1.1310e-04     5.5420e-04     8.7819e-03
1.1310e-04     5.8650e-04     9.7563e-03
1.1310e-04     6.2060e-04     1.0826e-02
1.1310e-04     6.5670e-04     1.2000e-02
1.1310e-04     6.9490e-04     1.3286e-02
1.1310e-04     7.3540e-04     1.4693e-02
1.1310e-04     7.7810e-04     1.6219e-02
1.1310e-04     8.2340e-04     1.7877e-02
1.1310e-04     8.7130e-04     1.9668e-02
1.1310e-04     9.2200e-04     2.1592e-02
1.1310e-04     9.7570e-04     2.3653e-02
1.1310e-04     1.0320e-03     2.5822e-02
1.1310e-04     1.0920e-03     2.8127e-02
1.1310e-04     1.1560e-03     3.0558e-02
1.1310e-04     1.2230e-03     3.3051e-02
1.1310e-04     1.2940e-03     3.5609e-02
1.1310e-04     1.3700e-03     3.8225e-02
1.1310e-04     1.4490e-03     4.0780e-02
1.1310e-04     1.5340e-03     4.3310e-02
1.1310e-04     1.6230e-03     4.5686e-02
1.1310e-04     1.7170e-03     4.7860e-02
1.1310e-04     1.8170e-03     4.9771e-02
1.1310e-04     1.9230e-03     5.1323e-02
1.1310e-04     2.0350e-03     5.2423e-02
1.1310e-04     2.1530e-03     5.2988e-02
1.1310e-04     2.2790e-03     5.2939e-02
1.1310e-04     2.4110e-03     5.2214e-02
1.1310e-04     2.5520e-03     5.0751e-02
1.1310e-04     2.7000e-03     4.8557e-02
1.2800e-04     1.0000e-05     3.0601e-06
1.2800e-04     1.0580e-05     3.4254e-06
1.2800e-04     1.1200e-05     3.8386e-06
1.2800e-04     1.1850e-05     4.2971e-06
1.2800e-04     1.2540e-05     4.8120e-06
1.2800e-04     1.3270e-05     5.3886e-06
1.2800e-04     1.4040e-05     6.0320e-06
1.2800e-04     1.4860e-05     6.7572e-06
1.2800e-04     1.5720e-05     7.5619e-06
1.2800e-04     1.6640e-05     8.4728e-06
1.2800e-04     1.7600e-05     9.4786e-06
1.2800e-04     1.8630e-05     1.0620e-05
1.2800e-04     1.9710e-05     1.1887e-05
1.2800e-04     2.0860e-05     1.3315e-05
1.2800e-04     2.2070e-05     1.4904e-05
1.2800e-04     2.3360e-05     1.6697e-05
1.2800e-04     2.4710e-05     1.8682e-05
1.2800e-04     2.6150e-05     2.0923e-05
1.2800e-04     2.7670e-05     2.3426e-05
1.2800e-04     2.9280e-05     2.6231e-05
1.2800e-04     3.0990e-05     2.9383e-05
1.2800e-04     3.2790e-05     3.2895e-05
1.2800e-04     3.4700e-05     3.6838e-05
1.2800e-04     3.6720e-05     4.1250e-05
1.2800e-04     3.8850e-05     4.6173e-05
1.2800e-04     4.1110e-05     5.1699e-05
1.2800e-04     4.3510e-05     5.7909e-05
1.2800e-04     4.6040e-05     6.4836e-05
1.2800e-04     4.8710e-05     7.2570e-05
1.2800e-04     5.1550e-05     8.1274e-05
1.2800e-04     5.4550e-05     9.1002e-05
1.2800e-04     5.7720e-05     1.0188e-04
1.2800e-04     6.1080e-05     1.1407e-04
1.2800e-04     6.4630e-05     1.2771e-04
1.2800e-04     6.8390e-05     1.4298e-04
1.2800e-04     7.2370e-05     1.6009e-04
1.2800e-04     7.6580e-05     1.7923e-04
1.2800e-04     8.1040e-05     2.0069e-04
1.2800e-04     8.5750e-05     2.2465e-04
1.2800e-04     9.0740e-05     2.5151e-04
1.2800e-04     9.6020e-05     2.8157e-04
1.2800e-04     1.0160e-04     3.1517e-04
1.2800e-04     1.0750e-04     3.5274e-04
1.2800e-04     1.1380e-04     3.9518e-04
1.2800e-04     1.2040e-04     4.4219e-04
1.2800e-04     1.2740e-04     4.9492e-04
1.2800e-04     1.3480e-04     5.5384e-04
1.2800e-04     1.4270e-04     6.2036e-04
1.2800e-04     1.5100e-04     6.9425e-04
1.2800e-04     1.5970e-04     7.7610e-04
1.2800e-04     1.6900e-04     8.6853e-04
1.2800e-04     1.7890e-04     9.7253e-04
1.2800e-04     1.8930e-04     1.0880e-03
1.2800e-04     2.0030e-04     1.2169e-03
1.2800e-04     2.1190e-04     1.3605e-03
1.2800e-04     2.2430e-04     1.5226e-03
1.2800e-04     2.3730e-04     1.7020e-03
1.2800e-04     2.5110e-04     1.9029e-03
1.2800e-04     2.6570e-04     2.1270e-03
1.2800e-04     2.8120e-04     2.3780e-03
1.2800e-04     2.9750e-04     2.6562e-03
1.2800e-04     3.1490e-04     2.9690e-03
1.2800e-04     3.3320e-04     3.3154e-03
1.2800e-04     3.5260e-04     3.7019e-03
1.2800e-04     3.7310e-04     4.1313e-03
1.2800e-04     3.9480e-04     4.6089e-03
1.2800e-04     4.1770e-04     5.1380e-03
1.2800e-04     4.4200e-04     5.7269e-03
1.2800e-04     4.6780e-04     6.3820e-03
1.2800e-04     4.9500e-04     7.1048e-03
1.2800e-04     5.2380e-04     7.9045e-03
1.2800e-04     5.5420e-04     8.7853e-03
1.2800e-04     5.8650e-04     9.7600e-03
