 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =   138
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.9841e-06
1.0000e-04     3.7170e-05     6.8840e-05
1.0000e-04     6.4340e-05     2.0613e-04
1.0000e-04     9.1520e-05     4.1666e-04
1.0000e-04     1.1870e-04     6.9998e-04
1.0000e-04     1.4590e-04     1.0558e-03
1.0000e-04     1.7300e-04     1.4814e-03
1.0000e-04     2.0020e-04     1.9793e-03
1.0000e-04     2.2740e-04     2.5468e-03
1.0000e-04     2.5450e-04     3.1804e-03
1.0000e-04     2.8170e-04     3.8834e-03
1.0000e-04     3.0890e-04     4.6523e-03
1.0000e-04     3.3610e-04     5.4855e-03
1.0000e-04     3.6320e-04     6.3778e-03
1.0000e-04     3.9040e-04     7.3342e-03
1.0000e-04     4.1760e-04     8.3494e-03
1.0000e-04     4.4470e-04     9.4175e-03
1.0000e-04     4.7190e-04     1.0544e-02
1.0000e-04     4.9910e-04     1.1723e-02
1.0000e-04     5.2630e-04     1.2953e-02
1.0000e-04     5.5340e-04     1.4225e-02
1.0000e-04     5.8060e-04     1.5548e-02
1.0000e-04     6.0780e-04     1.6913e-02
1.0000e-04     6.3490e-04     1.8313e-02
1.0000e-04     6.6210e-04     1.9755e-02
1.0000e-04     6.8930e-04     2.1233e-02
1.0000e-04     7.1650e-04     2.2742e-02
1.0000e-04     7.4360e-04     2.4274e-02
1.0000e-04     7.7080e-04     2.5839e-02
1.0000e-04     7.9800e-04     2.7427e-02
1.0000e-04     8.2520e-04     2.9035e-02
1.0000e-04     8.5230e-04     3.0655e-02
1.0000e-04     8.7950e-04     3.2295e-02
1.0000e-04     9.0670e-04     3.3947e-02
1.0000e-04     9.3380e-04     3.5602e-02
1.0000e-04     9.6100e-04     3.7269e-02
1.0000e-04     9.8820e-04     3.8939e-02
1.0000e-04     1.0150e-03     4.0584e-02
1.0000e-04     1.0430e-03     4.2301e-02
1.0000e-04     1.0700e-03     4.3950e-02
1.0000e-04     1.0970e-03     4.5592e-02
1.0000e-04     1.1240e-03     4.7223e-02
1.0000e-04     1.1510e-03     4.8841e-02
1.0000e-04     1.1780e-03     5.0443e-02
1.0000e-04     1.2060e-03     5.2085e-02
1.0000e-04     1.2330e-03     5.3647e-02
1.0000e-04     1.2600e-03     5.5186e-02
1.0000e-04     1.2870e-03     5.6701e-02
1.0000e-04     1.3140e-03     5.8188e-02
1.0000e-04     1.3410e-03     5.9645e-02
1.0000e-04     1.3690e-03     6.1123e-02
1.0000e-04     1.3960e-03     6.2515e-02
1.0000e-04     1.4230e-03     6.3871e-02
1.0000e-04     1.4500e-03     6.5190e-02
1.0000e-04     1.4770e-03     6.6471e-02
1.0000e-04     1.5040e-03     6.7712e-02
1.0000e-04     1.5320e-03     6.8955e-02
1.0000e-04     1.5590e-03     7.0110e-02
1.0000e-04     1.5860e-03     7.1221e-02
1.0000e-04     1.6130e-03     7.2286e-02
1.0000e-04     1.6400e-03     7.3306e-02
1.0000e-04     1.6670e-03     7.4278e-02
1.0000e-04     1.6950e-03     7.5235e-02
1.0000e-04     1.7220e-03     7.6109e-02
1.0000e-04     1.7490e-03     7.6933e-02
