 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =   138
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     4.9841e-06
1.0000e-04     1.0580e-05     5.5790e-06
1.0000e-04     1.1200e-05     6.2520e-06
1.0000e-04     1.1850e-05     6.9987e-06
1.0000e-04     1.2540e-05     7.8374e-06
1.0000e-04     1.3270e-05     8.7765e-06
1.0000e-04     1.4040e-05     9.8245e-06
1.0000e-04     1.4860e-05     1.1006e-05
1.0000e-04     1.5720e-05     1.2316e-05
1.0000e-04     1.6640e-05     1.3800e-05
1.0000e-04     1.7600e-05     1.5438e-05
1.0000e-04     1.8630e-05     1.7298e-05
1.0000e-04     1.9710e-05     1.9361e-05
1.0000e-04     2.0860e-05     2.1686e-05
1.0000e-04     2.2070e-05     2.4275e-05
1.0000e-04     2.3360e-05     2.7195e-05
1.0000e-04     2.4710e-05     3.0428e-05
1.0000e-04     2.6150e-05     3.4078e-05
1.0000e-04     2.7670e-05     3.8154e-05
1.0000e-04     2.9280e-05     4.2722e-05
1.0000e-04     3.0990e-05     4.7857e-05
1.0000e-04     3.2790e-05     5.3576e-05
1.0000e-04     3.4700e-05     5.9997e-05
1.0000e-04     3.6720e-05     6.7184e-05
1.0000e-04     3.8850e-05     7.5201e-05
1.0000e-04     4.1110e-05     8.4202e-05
1.0000e-04     4.3510e-05     9.4316e-05
1.0000e-04     4.6040e-05     1.0560e-04
1.0000e-04     4.8710e-05     1.1819e-04
1.0000e-04     5.1550e-05     1.3237e-04
1.0000e-04     5.4550e-05     1.4821e-04
1.0000e-04     5.7720e-05     1.6593e-04
1.0000e-04     6.1080e-05     1.8579e-04
1.0000e-04     6.4630e-05     2.0799e-04
1.0000e-04     6.8390e-05     2.3287e-04
1.0000e-04     7.2370e-05     2.6073e-04
1.0000e-04     7.6580e-05     2.9190e-04
1.0000e-04     8.1040e-05     3.2684e-04
1.0000e-04     8.5750e-05     3.6587e-04
1.0000e-04     9.0740e-05     4.0961e-04
1.0000e-04     9.6020e-05     4.5856e-04
1.0000e-04     1.0160e-04     5.1327e-04
1.0000e-04     1.0750e-04     5.7445e-04
1.0000e-04     1.1380e-04     6.4355e-04
1.0000e-04     1.2040e-04     7.2010e-04
1.0000e-04     1.2740e-04     8.0595e-04
1.0000e-04     1.3480e-04     9.0189e-04
1.0000e-04     1.4270e-04     1.0102e-03
1.0000e-04     1.5100e-04     1.1305e-03
1.0000e-04     1.5970e-04     1.2637e-03
1.0000e-04     1.6900e-04     1.4142e-03
1.0000e-04     1.7890e-04     1.5835e-03
1.0000e-04     1.8930e-04     1.7713e-03
1.0000e-04     2.0030e-04     1.9812e-03
1.0000e-04     2.1190e-04     2.2149e-03
1.0000e-04     2.2430e-04     2.4786e-03
1.0000e-04     2.3730e-04     2.7704e-03
1.0000e-04     2.5110e-04     3.0972e-03
1.0000e-04     2.6570e-04     3.4618e-03
1.0000e-04     2.8120e-04     3.8699e-03
1.0000e-04     2.9750e-04     4.3221e-03
1.0000e-04     3.1490e-04     4.8306e-03
1.0000e-04     3.3320e-04     5.3936e-03
1.0000e-04     3.5260e-04     6.0215e-03
1.0000e-04     3.7310e-04     6.7190e-03
1.0000e-04     3.9480e-04     7.4945e-03
1.0000e-04     4.1770e-04     8.3533e-03
1.0000e-04     4.4200e-04     9.3086e-03
1.0000e-04     4.6780e-04     1.0371e-02
1.0000e-04     4.9500e-04     1.1542e-02
1.0000e-04     5.2380e-04     1.2838e-02
1.0000e-04     5.5420e-04     1.4263e-02
1.0000e-04     5.8650e-04     1.5840e-02
1.0000e-04     6.2060e-04     1.7569e-02
1.0000e-04     6.5670e-04     1.9466e-02
1.0000e-04     6.9490e-04     2.1541e-02
1.0000e-04     7.3540e-04     2.3808e-02
1.0000e-04     7.7810e-04     2.6263e-02
1.0000e-04     8.2340e-04     2.8928e-02
1.0000e-04     8.7130e-04     3.1799e-02
1.0000e-04     9.2200e-04     3.4881e-02
1.0000e-04     9.7570e-04     3.8171e-02
1.0000e-04     1.0320e-03     4.1627e-02
1.0000e-04     1.0920e-03     4.5289e-02
1.0000e-04     1.1560e-03     4.9139e-02
1.0000e-04     1.2230e-03     5.3071e-02
1.0000e-04     1.2940e-03     5.7089e-02
1.0000e-04     1.3700e-03     6.1175e-02
1.0000e-04     1.4490e-03     6.5142e-02
1.0000e-04     1.5340e-03     6.9042e-02
1.0000e-04     1.6230e-03     7.2669e-02
1.0000e-04     1.7170e-03     7.5951e-02
1.0000e-04     1.8170e-03     7.8786e-02
1.0000e-04     1.9230e-03     8.1028e-02
1.0000e-04     2.0350e-03     8.2539e-02
1.0000e-04     2.1530e-03     8.3194e-02
1.0000e-04     2.2790e-03     8.2880e-02
1.0000e-04     2.4110e-03     8.1516e-02
1.0000e-04     2.5520e-03     7.9017e-02
1.0000e-04     2.7000e-03     7.5412e-02
1.1310e-04     1.0000e-05     4.9865e-06
1.1310e-04     1.0580e-05     5.5817e-06
1.1310e-04     1.1200e-05     6.2550e-06
1.1310e-04     1.1850e-05     7.0021e-06
1.1310e-04     1.2540e-05     7.8412e-06
1.1310e-04     1.3270e-05     8.7807e-06
1.1310e-04     1.4040e-05     9.8292e-06
1.1310e-04     1.4860e-05     1.1011e-05
1.1310e-04     1.5720e-05     1.2322e-05
1.1310e-04     1.6640e-05     1.3806e-05
1.1310e-04     1.7600e-05     1.5445e-05
1.1310e-04     1.8630e-05     1.7306e-05
1.1310e-04     1.9710e-05     1.9370e-05
1.1310e-04     2.0860e-05     2.1696e-05
1.1310e-04     2.2070e-05     2.4286e-05
1.1310e-04     2.3360e-05     2.7208e-05
1.1310e-04     2.4710e-05     3.0443e-05
1.1310e-04     2.6150e-05     3.4094e-05
1.1310e-04     2.7670e-05     3.8172e-05
1.1310e-04     2.9280e-05     4.2743e-05
1.1310e-04     3.0990e-05     4.7880e-05
1.1310e-04     3.2790e-05     5.3602e-05
1.1310e-04     3.4700e-05     6.0026e-05
1.1310e-04     3.6720e-05     6.7216e-05
1.1310e-04     3.8850e-05     7.5238e-05
1.1310e-04     4.1110e-05     8.4242e-05
1.1310e-04     4.3510e-05     9.4361e-05
1.1310e-04     4.6040e-05     1.0565e-04
1.1310e-04     4.8710e-05     1.1825e-04
1.1310e-04     5.1550e-05     1.3243e-04
1.1310e-04     5.4550e-05     1.4828e-04
1.1310e-04     5.7720e-05     1.6601e-04
1.1310e-04     6.1080e-05     1.8588e-04
1.1310e-04     6.4630e-05     2.0809e-04
1.1310e-04     6.8390e-05     2.3298e-04
1.1310e-04     7.2370e-05     2.6085e-04
1.1310e-04     7.6580e-05     2.9204e-04
1.1310e-04     8.1040e-05     3.2700e-04
1.1310e-04     8.5750e-05     3.6605e-04
1.1310e-04     9.0740e-05     4.0980e-04
1.1310e-04     9.6020e-05     4.5878e-04
1.1310e-04     1.0160e-04     5.1352e-04
1.1310e-04     1.0750e-04     5.7473e-04
1.1310e-04     1.1380e-04     6.4386e-04
1.1310e-04     1.2040e-04     7.2045e-04
1.1310e-04     1.2740e-04     8.0633e-04
1.1310e-04     1.3480e-04     9.0232e-04
1.1310e-04     1.4270e-04     1.0107e-03
1.1310e-04     1.5100e-04     1.1310e-03
1.1310e-04     1.5970e-04     1.2643e-03
1.1310e-04     1.6900e-04     1.4149e-03
1.1310e-04     1.7890e-04     1.5842e-03
1.1310e-04     1.8930e-04     1.7722e-03
1.1310e-04     2.0030e-04     1.9822e-03
1.1310e-04     2.1190e-04     2.2160e-03
1.1310e-04     2.2430e-04     2.4798e-03
1.1310e-04     2.3730e-04     2.7718e-03
1.1310e-04     2.5110e-04     3.0987e-03
1.1310e-04     2.6570e-04     3.4635e-03
1.1310e-04     2.8120e-04     3.8718e-03
1.1310e-04     2.9750e-04     4.3242e-03
1.1310e-04     3.1490e-04     4.8330e-03
1.1310e-04     3.3320e-04     5.3962e-03
1.1310e-04     3.5260e-04     6.0244e-03
1.1310e-04     3.7310e-04     6.7222e-03
1.1310e-04     3.9480e-04     7.4981e-03
1.1310e-04     4.1770e-04     8.3573e-03
1.1310e-04     4.4200e-04     9.3131e-03
1.1310e-04     4.6780e-04     1.0376e-02
1.1310e-04     4.9500e-04     1.1548e-02
1.1310e-04     5.2380e-04     1.2844e-02
1.1310e-04     5.5420e-04     1.4270e-02
1.1310e-04     5.8650e-04     1.5848e-02
1.1310e-04     6.2060e-04     1.7578e-02
