 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    30
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     4.9842e-02
1.1310e-04     1.0000e-03     4.9866e-02
1.2800e-04     1.0000e-03     4.9894e-02
1.4480e-04     1.0000e-03     4.9928e-02
1.6380e-04     1.0000e-03     4.9968e-02
1.8520e-04     1.0000e-03     5.0015e-02
2.0950e-04     1.0000e-03     5.0071e-02
2.3700e-04     1.0000e-03     5.0139e-02
2.6810e-04     1.0000e-03     5.0221e-02
3.0330e-04     1.0000e-03     5.0321e-02
3.4310e-04     1.0000e-03     5.0441e-02
3.8820e-04     1.0000e-03     5.0588e-02
4.3910e-04     1.0000e-03     5.0768e-02
4.9670e-04     1.0000e-03     5.0989e-02
5.6190e-04     1.0000e-03     5.1262e-02
6.3560e-04     1.0000e-03     5.1599e-02
7.1900e-04     1.0000e-03     5.2018e-02
8.1340e-04     1.0000e-03     5.2541e-02
9.2010e-04     1.0000e-03     5.3195e-02
1.0410e-03     1.0000e-03     5.4018e-02
1.1770e-03     1.0000e-03     5.5050e-02
1.3320e-03     1.0000e-03     5.6366e-02
1.5070e-03     1.0000e-03     5.8036e-02
1.7040e-03     1.0000e-03     6.0157e-02
1.9280e-03     1.0000e-03     6.2893e-02
2.1810e-03     1.0000e-03     6.6416e-02
2.4670e-03     1.0000e-03     7.0983e-02
2.7910e-03     1.0000e-03     7.6955e-02
3.1570e-03     1.0000e-03     8.4796e-02
3.5710e-03     1.0000e-03     9.5185e-02
4.0400e-03     1.0000e-03     1.0909e-01
4.5700e-03     1.0000e-03     1.2782e-01
5.1700e-03     1.0000e-03     1.5334e-01
5.8480e-03     1.0000e-03     1.8833e-01
6.6150e-03     1.0000e-03     2.3671e-01
7.4830e-03     1.0000e-03     3.0381e-01
8.4650e-03     1.0000e-03     3.9617e-01
9.5760e-03     1.0000e-03     5.2001e-01
1.0830e-02     1.0000e-03     6.7533e-01
1.2250e-02     1.0000e-03     8.4549e-01
1.3860e-02     1.0000e-03     9.8451e-01
1.5680e-02     1.0000e-03     1.0310e+00
1.7740e-02     1.0000e-03     9.6053e-01
2.0070e-02     1.0000e-03     8.0987e-01
2.2700e-02     1.0000e-03     6.3700e-01
2.5680e-02     1.0000e-03     4.7886e-01
2.9050e-02     1.0000e-03     3.4931e-01
3.2860e-02     1.0000e-03     2.4877e-01
3.7170e-02     1.0000e-03     1.7303e-01
4.2050e-02     1.0000e-03     1.1720e-01
4.7570e-02     1.0000e-03     7.6976e-02
5.3810e-02     1.0000e-03     4.8769e-02
6.0870e-02     1.0000e-03     2.9612e-02
6.8850e-02     1.0000e-03     1.7179e-02
7.7890e-02     1.0000e-03     9.5768e-03
8.8110e-02     1.0000e-03     5.3479e-03
9.9670e-02     1.0000e-03     3.3409e-03
1.1270e-01     1.0000e-03     2.6909e-03
1.2750e-01     1.0000e-03     2.7657e-03
1.4430e-01     1.0000e-03     3.1363e-03
1.6320e-01     1.0000e-03     3.5216e-03
1.8460e-01     1.0000e-03     3.7721e-03
2.0890e-01     1.0000e-03     3.8263e-03
2.3630e-01     1.0000e-03     3.6846e-03
2.6730e-01     1.0000e-03     3.3838e-03
3.0230e-01     1.0000e-03     2.9792e-03
3.4200e-01     1.0000e-03     2.5227e-03
3.8690e-01     1.0000e-03     2.0636e-03
4.3760e-01     1.0000e-03     1.6363e-03
4.9510e-01     1.0000e-03     1.2596e-03
5.6000e-01     1.0000e-03     9.4531e-04
6.3350e-01     1.0000e-03     6.9300e-04
7.1660e-01     1.0000e-03     4.9698e-04
8.1070e-01     1.0000e-03     3.4967e-04
9.1700e-01     1.0000e-03     2.4182e-04
1.0370e+00     1.0000e-03     1.6483e-04
1.1730e+00     1.0000e-03     1.1061e-04
1.3270e+00     1.0000e-03     7.3340e-05
1.5020e+00     1.0000e-03     4.7910e-05
1.6990e+00     1.0000e-03     3.0971e-05
1.9220e+00     1.0000e-03     1.9835e-05
2.1740e+00     1.0000e-03     1.2554e-05
2.4590e+00     1.0000e-03     7.8798e-06
2.7820e+00     1.0000e-03     4.8831e-06
3.1470e+00     1.0000e-03     2.9894e-06
3.5600e+00     1.0000e-03     1.8183e-06
4.0270e+00     1.0000e-03     1.0897e-06
4.5550e+00     1.0000e-03     6.4572e-07
5.1530e+00     1.0000e-03     3.7852e-07
5.8290e+00     1.0000e-03     2.1972e-07
6.5940e+00     1.0000e-03     1.2614e-07
7.4590e+00     1.0000e-03     7.1657e-08
8.4370e+00     1.0000e-03     4.0568e-08
9.5450e+00     1.0000e-03     2.2580e-08
1.0800e+01     1.0000e-03     1.2501e-08
1.2210e+01     1.0000e-03     6.8708e-09
1.3820e+01     1.0000e-03     3.7314e-09
1.5630e+01     1.0000e-03     2.0388e-09
1.7680e+01     1.0000e-03     1.0784e-09
2.0000e+01     1.0000e-03     5.7237e-10
