 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions =  1
 No. of channels =    14
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     2.0051e-03
1.1310e-04     1.0000e-03     2.0028e-03
1.2800e-04     1.0000e-03     2.0001e-03
1.4480e-04     1.0000e-03     1.9972e-03
1.6380e-04     1.0000e-03     1.9939e-03
1.8520e-04     1.0000e-03     1.9902e-03
2.0950e-04     1.0000e-03     1.9860e-03
2.3700e-04     1.0000e-03     1.9813e-03
2.6810e-04     1.0000e-03     1.9761e-03
3.0330e-04     1.0000e-03     1.9703e-03
3.4310e-04     1.0000e-03     1.9639e-03
3.8820e-04     1.0000e-03     1.9567e-03
4.3910e-04     1.0000e-03     1.9488e-03
4.9670e-04     1.0000e-03     1.9400e-03
5.6190e-04     1.0000e-03     1.9303e-03
6.3560e-04     1.0000e-03     1.9196e-03
7.1900e-04     1.0000e-03     1.9079e-03
8.1340e-04     1.0000e-03     1.8951e-03
9.2010e-04     1.0000e-03     1.8812e-03
1.0410e-03     1.0000e-03     1.8662e-03
1.1770e-03     1.0000e-03     1.8500e-03
1.3320e-03     1.0000e-03     1.8326e-03
1.5070e-03     1.0000e-03     1.8140e-03
1.7040e-03     1.0000e-03     1.7944e-03
1.9280e-03     1.0000e-03     1.7736e-03
2.1810e-03     1.0000e-03     1.7519e-03
2.4670e-03     1.0000e-03     1.7294e-03
2.7910e-03     1.0000e-03     1.7061e-03
3.1570e-03     1.0000e-03     1.6823e-03
3.5710e-03     1.0000e-03     1.6581e-03
4.0400e-03     1.0000e-03     1.6337e-03
4.5700e-03     1.0000e-03     1.6093e-03
5.1700e-03     1.0000e-03     1.5850e-03
5.8480e-03     1.0000e-03     1.5611e-03
6.6150e-03     1.0000e-03     1.5377e-03
7.4830e-03     1.0000e-03     1.5149e-03
8.4650e-03     1.0000e-03     1.4927e-03
9.5760e-03     1.0000e-03     1.4713e-03
1.0830e-02     1.0000e-03     1.4507e-03
1.2250e-02     1.0000e-03     1.4308e-03
1.3860e-02     1.0000e-03     1.4113e-03
1.5680e-02     1.0000e-03     1.3923e-03
1.7740e-02     1.0000e-03     1.3734e-03
2.0070e-02     1.0000e-03     1.3545e-03
2.2700e-02     1.0000e-03     1.3350e-03
2.5680e-02     1.0000e-03     1.3148e-03
2.9050e-02     1.0000e-03     1.2932e-03
3.2860e-02     1.0000e-03     1.2700e-03
3.7170e-02     1.0000e-03     1.2445e-03
4.2050e-02     1.0000e-03     1.2162e-03
4.7570e-02     1.0000e-03     1.1848e-03
5.3810e-02     1.0000e-03     1.1498e-03
6.0870e-02     1.0000e-03     1.1109e-03
6.8850e-02     1.0000e-03     1.0676e-03
7.7890e-02     1.0000e-03     1.0200e-03
8.8110e-02     1.0000e-03     9.6797e-04
9.9670e-02     1.0000e-03     9.1176e-04
1.1270e-01     1.0000e-03     8.5191e-04
1.2750e-01     1.0000e-03     7.8859e-04
1.4430e-01     1.0000e-03     7.2278e-04
1.6320e-01     1.0000e-03     6.5568e-04
1.8460e-01     1.0000e-03     5.8824e-04
2.0890e-01     1.0000e-03     5.2134e-04
2.3630e-01     1.0000e-03     4.5657e-04
2.6730e-01     1.0000e-03     3.9490e-04
3.0230e-01     1.0000e-03     3.3719e-04
3.4200e-01     1.0000e-03     2.8415e-04
3.8690e-01     1.0000e-03     2.3630e-04
4.3760e-01     1.0000e-03     1.9400e-04
4.9510e-01     1.0000e-03     1.5730e-04
5.6000e-01     1.0000e-03     1.2600e-04
6.3350e-01     1.0000e-03     9.9724e-05
7.1660e-01     1.0000e-03     7.8016e-05
8.1070e-01     1.0000e-03     6.0414e-05
9.1700e-01     1.0000e-03     4.6363e-05
1.0370e+00     1.0000e-03     3.5265e-05
1.1730e+00     1.0000e-03     2.6589e-05
1.3270e+00     1.0000e-03     1.9918e-05
1.5020e+00     1.0000e-03     1.4784e-05
1.6990e+00     1.0000e-03     1.0903e-05
1.9220e+00     1.0000e-03     8.0057e-06
2.1740e+00     1.0000e-03     5.8471e-06
2.4590e+00     1.0000e-03     4.2452e-06
2.7820e+00     1.0000e-03     3.0652e-06
3.1470e+00     1.0000e-03     2.2059e-06
3.5600e+00     1.0000e-03     1.5759e-06
4.0270e+00     1.0000e-03     1.1238e-06
4.5550e+00     1.0000e-03     7.9598e-07
5.1530e+00     1.0000e-03     5.6041e-07
5.8290e+00     1.0000e-03     3.9250e-07
6.5940e+00     1.0000e-03     2.7351e-07
7.4590e+00     1.0000e-03     1.8970e-07
8.4370e+00     1.0000e-03     1.3019e-07
9.5450e+00     1.0000e-03     8.9668e-08
1.0800e+01     1.0000e-03     6.1068e-08
1.2210e+01     1.0000e-03     4.1697e-08
1.3820e+01     1.0000e-03     2.8131e-08
1.5630e+01     1.0000e-03     1.8644e-08
1.7680e+01     1.0000e-03     1.2583e-08
2.0000e+01     1.0000e-03     8.4158e-09
