 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions =  1
 No. of channels =    50
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     5.7520e-04
1.0000e-04     1.0580e-05     6.4385e-04
1.0000e-04     1.1200e-05     7.2152e-04
1.0000e-04     1.1850e-05     8.0770e-04
1.0000e-04     1.2540e-05     9.0449e-04
1.0000e-04     1.3270e-05     1.0129e-03
1.0000e-04     1.4040e-05     1.1338e-03
1.0000e-04     1.4860e-05     1.2701e-03
1.0000e-04     1.5720e-05     1.4214e-03
1.0000e-04     1.6640e-05     1.5926e-03
1.0000e-04     1.7600e-05     1.7816e-03
1.0000e-04     1.8630e-05     1.9963e-03
1.0000e-04     1.9710e-05     2.2344e-03
1.0000e-04     2.0860e-05     2.5027e-03
1.0000e-04     2.2070e-05     2.8015e-03
1.0000e-04     2.3360e-05     3.1385e-03
1.0000e-04     2.4710e-05     3.5117e-03
1.0000e-04     2.6150e-05     3.9328e-03
1.0000e-04     2.7670e-05     4.4032e-03
1.0000e-04     2.9280e-05     4.9305e-03
1.0000e-04     3.0990e-05     5.5231e-03
1.0000e-04     3.2790e-05     6.1831e-03
1.0000e-04     3.4700e-05     6.9243e-03
1.0000e-04     3.6720e-05     7.7536e-03
1.0000e-04     3.8850e-05     8.6790e-03
1.0000e-04     4.1110e-05     9.7177e-03
1.0000e-04     4.3510e-05     1.0885e-02
1.0000e-04     4.6040e-05     1.2187e-02
1.0000e-04     4.8710e-05     1.3641e-02
1.0000e-04     5.1550e-05     1.5277e-02
1.0000e-04     5.4550e-05     1.7106e-02
1.0000e-04     5.7720e-05     1.9150e-02
1.0000e-04     6.1080e-05     2.1443e-02
1.0000e-04     6.4630e-05     2.4005e-02
1.0000e-04     6.8390e-05     2.6877e-02
1.0000e-04     7.2370e-05     3.0093e-02
1.0000e-04     7.6580e-05     3.3691e-02
1.0000e-04     8.1040e-05     3.7724e-02
1.0000e-04     8.5750e-05     4.2230e-02
1.0000e-04     9.0740e-05     4.7279e-02
1.0000e-04     9.6020e-05     5.2930e-02
1.0000e-04     1.0160e-04     5.9247e-02
1.0000e-04     1.0750e-04     6.6311e-02
1.0000e-04     1.1380e-04     7.4289e-02
1.0000e-04     1.2040e-04     8.3129e-02
1.0000e-04     1.2740e-04     9.3042e-02
1.0000e-04     1.3480e-04     1.0412e-01
1.0000e-04     1.4270e-04     1.1663e-01
1.0000e-04     1.5100e-04     1.3052e-01
1.0000e-04     1.5970e-04     1.4591e-01
1.0000e-04     1.6900e-04     1.6330e-01
1.0000e-04     1.7890e-04     1.8286e-01
1.0000e-04     1.8930e-04     2.0457e-01
1.0000e-04     2.0030e-04     2.2883e-01
1.0000e-04     2.1190e-04     2.5584e-01
1.0000e-04     2.2430e-04     2.8634e-01
1.0000e-04     2.3730e-04     3.2008e-01
1.0000e-04     2.5110e-04     3.5789e-01
1.0000e-04     2.6570e-04     4.0008e-01
1.0000e-04     2.8120e-04     4.4732e-01
1.0000e-04     2.9750e-04     4.9968e-01
1.0000e-04     3.1490e-04     5.5859e-01
1.0000e-04     3.3320e-04     6.2383e-01
1.0000e-04     3.5260e-04     6.9663e-01
1.0000e-04     3.7310e-04     7.7755e-01
1.0000e-04     3.9480e-04     8.6757e-01
1.0000e-04     4.1770e-04     9.6733e-01
1.0000e-04     4.4200e-04     1.0784e+00
1.0000e-04     4.6780e-04     1.2020e+00
1.0000e-04     4.9500e-04     1.3384e+00
1.0000e-04     5.2380e-04     1.4894e+00
1.0000e-04     5.5420e-04     1.6558e+00
1.0000e-04     5.8650e-04     1.8401e+00
1.0000e-04     6.2060e-04     2.0425e+00
1.0000e-04     6.5670e-04     2.2649e+00
1.0000e-04     6.9490e-04     2.5085e+00
1.0000e-04     7.3540e-04     2.7753e+00
1.0000e-04     7.7810e-04     3.0648e+00
1.0000e-04     8.2340e-04     3.3798e+00
1.0000e-04     8.7130e-04     3.7200e+00
1.0000e-04     9.2200e-04     4.0862e+00
1.0000e-04     9.7570e-04     4.4785e+00
1.0000e-04     1.0320e-03     4.8918e+00
1.0000e-04     1.0920e-03     5.3313e+00
1.0000e-04     1.1560e-03     5.7952e+00
1.0000e-04     1.2230e-03     6.2710e+00
1.0000e-04     1.2940e-03     6.7591e+00
1.0000e-04     1.3700e-03     7.2578e+00
1.0000e-04     1.4490e-03     7.7440e+00
1.0000e-04     1.5340e-03     8.2240e+00
1.0000e-04     1.6230e-03     8.6721e+00
1.0000e-04     1.7170e-03     9.0786e+00
1.0000e-04     1.8170e-03     9.4298e+00
1.0000e-04     1.9230e-03     9.7064e+00
1.0000e-04     2.0350e-03     9.8894e+00
1.0000e-04     2.1530e-03     9.9613e+00
1.0000e-04     2.2790e-03     9.9062e+00
1.0000e-04     2.4110e-03     9.7127e+00
1.0000e-04     2.5520e-03     9.3691e+00
1.0000e-04     2.7000e-03     8.8801e+00
1.1310e-04     1.0000e-05     5.7193e-04
1.1310e-04     1.0580e-05     6.4020e-04
1.1310e-04     1.1200e-05     7.1742e-04
1.1310e-04     1.1850e-05     8.0311e-04
1.1310e-04     1.2540e-05     8.9936e-04
1.1310e-04     1.3270e-05     1.0071e-03
1.1310e-04     1.4040e-05     1.1274e-03
1.1310e-04     1.4860e-05     1.2629e-03
1.1310e-04     1.5720e-05     1.4133e-03
1.1310e-04     1.6640e-05     1.5836e-03
1.1310e-04     1.7600e-05     1.7715e-03
1.1310e-04     1.8630e-05     1.9849e-03
1.1310e-04     1.9710e-05     2.2217e-03
1.1310e-04     2.0860e-05     2.4885e-03
1.1310e-04     2.2070e-05     2.7856e-03
1.1310e-04     2.3360e-05     3.1207e-03
1.1310e-04     2.4710e-05     3.4917e-03
1.1310e-04     2.6150e-05     3.9105e-03
1.1310e-04     2.7670e-05     4.3782e-03
1.1310e-04     2.9280e-05     4.9025e-03
1.1310e-04     3.0990e-05     5.4917e-03
1.1310e-04     3.2790e-05     6.1480e-03
1.1310e-04     3.4700e-05     6.8849e-03
1.1310e-04     3.6720e-05     7.7096e-03
1.1310e-04     3.8850e-05     8.6297e-03
1.1310e-04     4.1110e-05     9.6626e-03
1.1310e-04     4.3510e-05     1.0823e-02
1.1310e-04     4.6040e-05     1.2118e-02
1.1310e-04     4.8710e-05     1.3563e-02
1.1310e-04     5.1550e-05     1.5190e-02
1.1310e-04     5.4550e-05     1.7009e-02
1.1310e-04     5.7720e-05     1.9041e-02
1.1310e-04     6.1080e-05     2.1321e-02
1.1310e-04     6.4630e-05     2.3869e-02
1.1310e-04     6.8390e-05     2.6724e-02
1.1310e-04     7.2370e-05     2.9922e-02
1.1310e-04     7.6580e-05     3.3500e-02
1.1310e-04     8.1040e-05     3.7510e-02
1.1310e-04     8.5750e-05     4.1990e-02
1.1310e-04     9.0740e-05     4.7011e-02
1.1310e-04     9.6020e-05     5.2630e-02
1.1310e-04     1.0160e-04     5.8911e-02
1.1310e-04     1.0750e-04     6.5934e-02
1.1310e-04     1.1380e-04     7.3867e-02
1.1310e-04     1.2040e-04     8.2657e-02
1.1310e-04     1.2740e-04     9.2514e-02
1.1310e-04     1.3480e-04     1.0353e-01
1.1310e-04     1.4270e-04     1.1597e-01
1.1310e-04     1.5100e-04     1.2978e-01
1.1310e-04     1.5970e-04     1.4509e-01
1.1310e-04     1.6900e-04     1.6237e-01
1.1310e-04     1.7890e-04     1.8182e-01
1.1310e-04     1.8930e-04     2.0341e-01
1.1310e-04     2.0030e-04     2.2753e-01
1.1310e-04     2.1190e-04     2.5439e-01
1.1310e-04     2.2430e-04     2.8471e-01
1.1310e-04     2.3730e-04     3.1827e-01
1.1310e-04     2.5110e-04     3.5586e-01
1.1310e-04     2.6570e-04     3.9781e-01
1.1310e-04     2.8120e-04     4.4478e-01
1.1310e-04     2.9750e-04     4.9686e-01
1.1310e-04     3.1490e-04     5.5543e-01
1.1310e-04     3.3320e-04     6.2031e-01
1.1310e-04     3.5260e-04     6.9270e-01
1.1310e-04     3.7310e-04     7.7316e-01
1.1310e-04     3.9480e-04     8.6267e-01
1.1310e-04     4.1770e-04     9.6187e-01
1.1310e-04     4.4200e-04     1.0723e+00
1.1310e-04     4.6780e-04     1.1952e+00
