 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 17
 No. of channels = 1302
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.6392e-03
1.0000e-04     3.7170e-05     2.2641e-02
1.0000e-04     6.4340e-05     6.7802e-02
1.0000e-04     9.1520e-05     1.3707e-01
1.0000e-04     1.1870e-04     2.3032e-01
1.0000e-04     1.4590e-04     3.4747e-01
1.0000e-04     1.7300e-04     4.8771e-01
1.0000e-04     2.0020e-04     6.5182e-01
1.0000e-04     2.2740e-04     8.3905e-01
1.0000e-04     2.5450e-04     1.0482e+00
1.0000e-04     2.8170e-04     1.2806e+00
1.0000e-04     3.0890e-04     1.5350e+00
1.0000e-04     3.3610e-04     1.8109e+00
1.0000e-04     3.6320e-04     2.1068e+00
1.0000e-04     3.9040e-04     2.4244e+00
1.0000e-04     4.1760e-04     2.7620e+00
1.0000e-04     4.4470e-04     3.1176e+00
1.0000e-04     4.7190e-04     3.4935e+00
1.0000e-04     4.9910e-04     3.8875e+00
1.0000e-04     5.2630e-04     4.2990e+00
1.0000e-04     5.5340e-04     4.7257e+00
1.0000e-04     5.8060e-04     5.1700e+00
1.0000e-04     6.0780e-04     5.6297e+00
1.0000e-04     6.3490e-04     6.1021e+00
1.0000e-04     6.6210e-04     6.5901e+00
1.0000e-04     6.8930e-04     7.0909e+00
1.0000e-04     7.1650e-04     7.6038e+00
1.0000e-04     7.4360e-04     8.1259e+00
1.0000e-04     7.7080e-04     8.6603e+00
1.0000e-04     7.9800e-04     9.2042e+00
1.0000e-04     8.2520e-04     9.7566e+00
1.0000e-04     8.5230e-04     1.0315e+01
1.0000e-04     8.7950e-04     1.0881e+01
1.0000e-04     9.0670e-04     1.1454e+01
1.0000e-04     9.3380e-04     1.2029e+01
1.0000e-04     9.6100e-04     1.2610e+01
1.0000e-04     9.8820e-04     1.3195e+01
1.0000e-04     1.0150e-03     1.3772e+01
1.0000e-04     1.0430e-03     1.4377e+01
1.0000e-04     1.0700e-03     1.4960e+01
1.0000e-04     1.0970e-03     1.5543e+01
1.0000e-04     1.1240e-03     1.6124e+01
1.0000e-04     1.1510e-03     1.6702e+01
1.0000e-04     1.1780e-03     1.7277e+01
1.0000e-04     1.2060e-03     1.7869e+01
1.0000e-04     1.2330e-03     1.8434e+01
1.0000e-04     1.2600e-03     1.8994e+01
1.0000e-04     1.2870e-03     1.9546e+01
1.0000e-04     1.3140e-03     2.0091e+01
1.0000e-04     1.3410e-03     2.0628e+01
1.0000e-04     1.3690e-03     2.1174e+01
1.0000e-04     1.3960e-03     2.1692e+01
1.0000e-04     1.4230e-03     2.2198e+01
1.0000e-04     1.4500e-03     2.2693e+01
1.0000e-04     1.4770e-03     2.3177e+01
1.0000e-04     1.5040e-03     2.3647e+01
1.0000e-04     1.5320e-03     2.4121e+01
1.0000e-04     1.5590e-03     2.4564e+01
1.0000e-04     1.5860e-03     2.4993e+01
1.0000e-04     1.6130e-03     2.5407e+01
1.0000e-04     1.6400e-03     2.5805e+01
1.0000e-04     1.6670e-03     2.6187e+01
1.0000e-04     1.6950e-03     2.6567e+01
1.0000e-04     1.7220e-03     2.6915e+01
1.0000e-04     1.7490e-03     2.7247e+01
1.0000e-04     1.7760e-03     2.7561e+01
1.0000e-04     1.8030e-03     2.7858e+01
1.0000e-04     1.8310e-03     2.8146e+01
1.0000e-04     1.8580e-03     2.8406e+01
1.0000e-04     1.8850e-03     2.8647e+01
1.0000e-04     1.9120e-03     2.8870e+01
1.0000e-04     1.9390e-03     2.9074e+01
1.0000e-04     1.9660e-03     2.9258e+01
1.0000e-04     1.9940e-03     2.9430e+01
1.0000e-04     2.0210e-03     2.9577e+01
1.0000e-04     2.0480e-03     2.9704e+01
1.0000e-04     2.0750e-03     2.9812e+01
1.0000e-04     2.1020e-03     2.9902e+01
1.0000e-04     2.1290e-03     2.9973e+01
1.0000e-04     2.1570e-03     3.0026e+01
1.0000e-04     2.1840e-03     3.0059e+01
1.0000e-04     2.2110e-03     3.0073e+01
1.0000e-04     2.2380e-03     3.0069e+01
