 Element: Xe
 Maximum L = 10
 Maximum kappa = 13
 No. of transitions = 17
 No. of channels = 1302
 No. of energies = 100
 No. of velocities = 100
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-05     1.6392e-03
1.0000e-04     1.0580e-05     1.8348e-03
1.0000e-04     1.1200e-05     2.0562e-03
1.0000e-04     1.1850e-05     2.3017e-03
1.0000e-04     1.2540e-05     2.5776e-03
1.0000e-04     1.3270e-05     2.8864e-03
1.0000e-04     1.4040e-05     3.2311e-03
1.0000e-04     1.4860e-05     3.6195e-03
1.0000e-04     1.5720e-05     4.0506e-03
1.0000e-04     1.6640e-05     4.5385e-03
1.0000e-04     1.7600e-05     5.0773e-03
1.0000e-04     1.8630e-05     5.6889e-03
1.0000e-04     1.9710e-05     6.3676e-03
1.0000e-04     2.0860e-05     7.1322e-03
1.0000e-04     2.2070e-05     7.9836e-03
1.0000e-04     2.3360e-05     8.9440e-03
1.0000e-04     2.4710e-05     1.0008e-02
1.0000e-04     2.6150e-05     1.1208e-02
1.0000e-04     2.7670e-05     1.2548e-02
1.0000e-04     2.9280e-05     1.4051e-02
1.0000e-04     3.0990e-05     1.5740e-02
1.0000e-04     3.2790e-05     1.7621e-02
1.0000e-04     3.4700e-05     1.9733e-02
1.0000e-04     3.6720e-05     2.2096e-02
1.0000e-04     3.8850e-05     2.4734e-02
1.0000e-04     4.1110e-05     2.7694e-02
1.0000e-04     4.3510e-05     3.1021e-02
1.0000e-04     4.6040e-05     3.4731e-02
1.0000e-04     4.8710e-05     3.8875e-02
1.0000e-04     5.1550e-05     4.3537e-02
1.0000e-04     5.4550e-05     4.8749e-02
1.0000e-04     5.7720e-05     5.4576e-02
1.0000e-04     6.1080e-05     6.1110e-02
1.0000e-04     6.4630e-05     6.8414e-02
1.0000e-04     6.8390e-05     7.6598e-02
1.0000e-04     7.2370e-05     8.5763e-02
1.0000e-04     7.6580e-05     9.6020e-02
1.0000e-04     8.1040e-05     1.0752e-01
1.0000e-04     8.5750e-05     1.2036e-01
1.0000e-04     9.0740e-05     1.3475e-01
1.0000e-04     9.6020e-05     1.5086e-01
1.0000e-04     1.0160e-04     1.6886e-01
1.0000e-04     1.0750e-04     1.8900e-01
1.0000e-04     1.1380e-04     2.1174e-01
1.0000e-04     1.2040e-04     2.3694e-01
1.0000e-04     1.2740e-04     2.6521e-01
1.0000e-04     1.3480e-04     2.9680e-01
1.0000e-04     1.4270e-04     3.3246e-01
1.0000e-04     1.5100e-04     3.7208e-01
1.0000e-04     1.5970e-04     4.1597e-01
1.0000e-04     1.6900e-04     4.6555e-01
1.0000e-04     1.7890e-04     5.2133e-01
1.0000e-04     1.8930e-04     5.8327e-01
1.0000e-04     2.0030e-04     6.5247e-01
1.0000e-04     2.1190e-04     7.2954e-01
1.0000e-04     2.2430e-04     8.1655e-01
1.0000e-04     2.3730e-04     9.1287e-01
1.0000e-04     2.5110e-04     1.0208e+00
1.0000e-04     2.6570e-04     1.1412e+00
1.0000e-04     2.8120e-04     1.2761e+00
1.0000e-04     2.9750e-04     1.4257e+00
1.0000e-04     3.1490e-04     1.5940e+00
1.0000e-04     3.3320e-04     1.7805e+00
1.0000e-04     3.5260e-04     1.9886e+00
1.0000e-04     3.7310e-04     2.2200e+00
1.0000e-04     3.9480e-04     2.4776e+00
1.0000e-04     4.1770e-04     2.7632e+00
1.0000e-04     4.4200e-04     3.0814e+00
1.0000e-04     4.6780e-04     3.4356e+00
