 Element: Xe
 Maximum L =  1
 Maximum kappa = 20
 No. of transitions = 17
 No. of channels = 330
 No. of energies = 100
 No. of velocities =   1
------------------------------------

e energy (keV) v/c            dP/dE
1.0000e-04     1.0000e-03     1.6392e+01
1.1310e-04     1.0000e-03     1.6293e+01
1.2800e-04     1.0000e-03     1.6182e+01
1.4480e-04     1.0000e-03     1.6057e+01
1.6380e-04     1.0000e-03     1.5918e+01
1.8520e-04     1.0000e-03     1.5763e+01
2.0950e-04     1.0000e-03     1.5590e+01
2.3700e-04     1.0000e-03     1.5397e+01
2.6810e-04     1.0000e-03     1.5183e+01
3.0330e-04     1.0000e-03     1.4946e+01
3.4310e-04     1.0000e-03     1.4683e+01
3.8820e-04     1.0000e-03     1.4393e+01
4.3910e-04     1.0000e-03     1.4076e+01
4.9670e-04     1.0000e-03     1.3727e+01
5.6190e-04     1.0000e-03     1.3348e+01
6.3560e-04     1.0000e-03     1.2935e+01
7.1900e-04     1.0000e-03     1.2489e+01
8.1340e-04     1.0000e-03     1.2010e+01
9.2010e-04     1.0000e-03     1.1497e+01
1.0410e-03     1.0000e-03     1.0952e+01
1.1770e-03     1.0000e-03     1.0380e+01
1.3320e-03     1.0000e-03     9.7769e+00
1.5070e-03     1.0000e-03     9.1517e+00
1.7040e-03     1.0000e-03     8.5114e+00
1.9280e-03     1.0000e-03     7.8554e+00
2.1810e-03     1.0000e-03     7.1950e+00
2.4670e-03     1.0000e-03     6.5368e+00
2.7910e-03     1.0000e-03     5.8878e+00
3.1570e-03     1.0000e-03     5.2583e+00
3.5710e-03     1.0000e-03     4.6558e+00
4.0400e-03     1.0000e-03     4.0883e+00
4.5700e-03     1.0000e-03     3.5657e+00
5.1700e-03     1.0000e-03     3.0953e+00
5.8480e-03     1.0000e-03     2.6863e+00
6.6150e-03     1.0000e-03     2.3469e+00
7.4830e-03     1.0000e-03     2.0869e+00
8.4650e-03     1.0000e-03     1.9174e+00
9.5760e-03     1.0000e-03     1.8489e+00
1.0830e-02     1.0000e-03     1.8829e+00
1.2250e-02     1.0000e-03     1.9939e+00
1.3860e-02     1.0000e-03     2.1035e+00
1.5680e-02     1.0000e-03     2.0936e+00
1.7740e-02     1.0000e-03     1.8998e+00
2.0070e-02     1.0000e-03     1.5771e+00
2.2700e-02     1.0000e-03     1.2291e+00
2.5680e-02     1.0000e-03     9.2094e-01
2.9050e-02     1.0000e-03     6.7382e-01
3.2860e-02     1.0000e-03     4.8483e-01
3.7170e-02     1.0000e-03     3.4380e-01
4.2050e-02     1.0000e-03     2.4031e-01
4.7570e-02     1.0000e-03     1.6573e-01
5.3810e-02     1.0000e-03     1.1310e-01
6.0870e-02     1.0000e-03     7.6874e-02
6.8850e-02     1.0000e-03     5.2765e-02
7.7890e-02     1.0000e-03     3.7354e-02
8.8110e-02     1.0000e-03     2.8043e-02
9.9670e-02     1.0000e-03     2.2787e-02
1.1270e-01     1.0000e-03     2.0064e-02
1.2750e-01     1.0000e-03     1.8743e-02
1.4430e-01     1.0000e-03     1.8063e-02
1.6320e-01     1.0000e-03     1.7527e-02
1.8460e-01     1.0000e-03     1.6849e-02
2.0890e-01     1.0000e-03     1.5903e-02
2.3630e-01     1.0000e-03     1.4684e-02
2.6730e-01     1.0000e-03     1.3241e-02
3.0230e-01     1.0000e-03     1.1668e-02
3.4200e-01     1.0000e-03     1.0050e-02
3.8690e-01     1.0000e-03     8.4796e-03
4.3760e-01     1.0000e-03     7.0205e-03
4.9510e-01     1.0000e-03     5.7081e-03
5.6000e-01     1.0000e-03     4.5702e-03
6.3350e-01     1.0000e-03     3.6081e-03
7.1660e-01     1.0000e-03     2.8103e-03
8.1070e-01     1.0000e-03     2.1644e-03
9.1700e-01     1.0000e-03     1.6498e-03
1.0370e+00     1.0000e-03     1.2467e-03
1.1730e+00     1.0000e-03     9.3283e-04
1.3270e+00     1.0000e-03     6.9313e-04
1.5020e+00     1.0000e-03     5.1014e-04
1.6990e+00     1.0000e-03     3.7302e-04
1.9220e+00     1.0000e-03     2.7159e-04
2.1740e+00     1.0000e-03     1.9664e-04
2.4590e+00     1.0000e-03     1.4187e-04
2.7820e+00     1.0000e-03     1.0188e-04
3.1470e+00     1.0000e-03     7.2982e-05
3.5600e+00     1.0000e-03     5.2219e-05
4.0270e+00     1.0000e-03     3.7309e-05
4.5550e+00     1.0000e-03     2.6582e-05
5.1530e+00     1.0000e-03     1.8904e-05
5.8290e+00     1.0000e-03     1.3427e-05
6.5940e+00     1.0000e-03     9.5133e-06
7.4590e+00     1.0000e-03     6.7185e-06
8.4370e+00     1.0000e-03     4.7165e-06
9.5450e+00     1.0000e-03     3.3327e-06
1.0800e+01     1.0000e-03     2.3329e-06
1.2210e+01     1.0000e-03     1.6300e-06
1.3820e+01     1.0000e-03     1.1338e-06
1.5630e+01     1.0000e-03     7.8373e-07
1.7680e+01     1.0000e-03     5.4799e-07
2.0000e+01     1.0000e-03     3.7994e-07
